Movie,Actor
Lincoln,John Williams
Before We Go,Karen Elise Baldwin
Before We Go,Chris Evans
Before We Go,Alice Eve
Before We Go,Emma Fitzpatrick
Before We Go,John Cullum
Before We Go,Ron Bass
Before We Go,Jen Smolka
Before We Go,Chris Shafer
Before We Go,Paul Vicknair
Before We Go,Howard Baldwin
Scott Pilgrim vs. the World,Marc Platt
Scott Pilgrim vs. the World,Michael Cera
Scott Pilgrim vs. the World,Mary Elizabeth Winstead
Scott Pilgrim vs. the World,Kieran Culkin
Scott Pilgrim vs. the World,Anna Kendrick
Scott Pilgrim vs. the World,Edgar Wright
Scott Pilgrim vs. the World,Michael Bacall
Scott Pilgrim vs. the World,Bryan Lee O'Malley
Scott Pilgrim vs. the World,Eric Gitter
Scott Pilgrim vs. the World,Nira Park
Shazam!,Peter Safran
Shazam!,Zachary Levi
Shazam!,Mark Strong
Shazam!,Asher Angel
Shazam!,Jack Dylan Grazer
Shazam!,David F. Sandberg
Shazam!,Henry Gayden
Shazam!,Darren Lemke
Shazam!,Bill Parker
Shazam!,C.C. Beck
पुस इन बूट्स,Charles Perrault
पुस इन बूट्स,Antonio Banderas
पुस इन बूट्स,Salma Hayek
पुस इन बूट्स,Zach Galifianakis
पुस इन बूट्स,Billy Bob Thornton
पुस इन बूट्स,Chris Miller
पुस इन बूट्स,Tom Wheeler
पुस इन बूट्स,Brian Lynch
पुस इन बूट्स,Will Davies
पुस इन बूट्स,Andrew Adamson
Mad World,Brandon Trost
Mad World,Gary Cairns
Mad World,Dylan Booth
Mad World,Matthew Thompson
Mad World,James Lee Martinec
Mad World,Cory Cataldo
Mad World,Jennifer Beaton
Mad World,Mitch Rosin
Mad World,Sy Walters
Mad World,Coby Cranman
Wonder Woman,Harry G. Peter
Wonder Woman,Gal Gadot
Wonder Woman,Chris Pine
Wonder Woman,Robin Wright
Wonder Woman,Lucy Davis
Wonder Woman,Patty Jenkins
Wonder Woman,Allan Heinberg
Wonder Woman,Zack Snyder
Wonder Woman,Jason Fuchs
Wonder Woman,William Moulton Marston
42,Kevin Stitt
42,Chadwick Boseman
42,T.R. Knight
42,Harrison Ford
42,Nicole Beharie
42,Brian Helgeland
42,Thomas Tull
42,Mark Isham
42,Don Burgess
42,Peter McNulty
Life of Pi,Mychael Danna
लाइफ ऑफ़ पाई,Mychael Danna
Life of Pi,Suraj Sharma
लाइफ ऑफ़ पाई,Suraj Sharma
Life of Pi,Irrfan Khan
लाइफ ऑफ़ पाई,Irrfan Khan
Life of Pi,Adil Hussain
लाइफ ऑफ़ पाई,Adil Hussain
Life of Pi,Tabu
लाइफ ऑफ़ पाई,Tabu
Life of Pi,Ang Lee
लाइफ ऑफ़ पाई,Ang Lee
Life of Pi,Yann Martel
लाइफ ऑफ़ पाई,Yann Martel
Life of Pi,David Magee
लाइफ ऑफ़ पाई,David Magee
Life of Pi,Gil Netter
लाइफ ऑफ़ पाई,Gil Netter
Life of Pi,David Womark
लाइफ ऑफ़ पाई,David Womark
The Crazies,Rob Cowan
The Crazies,Radha Mitchell
The Crazies,Timothy Olyphant
The Crazies,Danielle Panabaker
The Crazies,Joe Anderson
The Crazies,Breck Eisner
The Crazies,Scott Kosar
The Crazies,Ray Wright
The Crazies,George A. Romero
The Crazies,Michael Aguilar
The Equalizer,Jason Blumenthal
The Equalizer,Denzel Washington
The Equalizer,Marton Csokas
The Equalizer,Chloë Grace Moretz
The Equalizer,David Harbour
The Equalizer,Antoine Fuqua
The Equalizer,Richard Wenk
The Equalizer,Michael Sloan
The Equalizer,Richard Lindheim
The Equalizer,Todd Black
Captain America: The First Avenger,Kevin Feige
Captain America: The First Avenger,Chris Evans
Captain America: The First Avenger,Hugo Weaving
Captain America: The First Avenger,Samuel L. Jackson
Captain America: The First Avenger,Hayley Atwell
Captain America: The First Avenger,Joe Johnston
Captain America: The First Avenger,Christopher Markus
Captain America: The First Avenger,Stephen McFeely
Captain America: The First Avenger,Joe Simon
Captain America: The First Avenger,Jack Kirby
Sin City: A Dame to Kill For,Mark C. Manuel
Sin City: A Dame to Kill For,Mickey Rourke
Sin City: A Dame to Kill For,Jessica Alba
Sin City: A Dame to Kill For,Josh Brolin
Sin City: A Dame to Kill For,Joseph Gordon-Levitt
Sin City: A Dame to Kill For,Frank Miller
Sin City: A Dame to Kill For,Robert Rodriguez
Sin City: A Dame to Kill For,Sergei Bespalov
Sin City: A Dame to Kill For,Aaron Kaufman
Sin City: A Dame to Kill For,Stephen L'Heureux
द ऑन्ली लिविंग बॉय इन न्यूयॉर्क,Stuart Dryburgh
The Only Living Boy in New York,Stuart Dryburgh
द ऑन्ली लिविंग बॉय इन न्यूयॉर्क,Callum Turner
The Only Living Boy in New York,Callum Turner
द ऑन्ली लिविंग बॉय इन न्यूयॉर्क,Kate Beckinsale
The Only Living Boy in New York,Kate Beckinsale
द ऑन्ली लिविंग बॉय इन न्यूयॉर्क,Pierce Brosnan
The Only Living Boy in New York,Pierce Brosnan
द ऑन्ली लिविंग बॉय इन न्यूयॉर्क,Cynthia Nixon
The Only Living Boy in New York,Cynthia Nixon
द ऑन्ली लिविंग बॉय इन न्यूयॉर्क,Marc Webb
The Only Living Boy in New York,Marc Webb
द ऑन्ली लिविंग बॉय इन न्यूयॉर्क,Allan Loeb
The Only Living Boy in New York,Allan Loeb
द ऑन्ली लिविंग बॉय इन न्यूयॉर्क,Albert Berger
The Only Living Boy in New York,Albert Berger
द ऑन्ली लिविंग बॉय इन न्यूयॉर्क,Ron Yerxa
The Only Living Boy in New York,Ron Yerxa
द ऑन्ली लिविंग बॉय इन न्यूयॉर्क,Rob Simonsen
The Only Living Boy in New York,Rob Simonsen
Piranha 3D,Marc Toberoff
Piranha 3D,Elisabeth Shue
Piranha 3D,Jerry O'Connell
Piranha 3D,Richard Dreyfuss
Piranha 3D,Ving Rhames
Piranha 3D,Alexandre Aja
Piranha 3D,Pete Goldfinger
Piranha 3D,Josh Stolberg
Piranha 3D,Mark Canton
Piranha 3D,Grégory Levasseur
Jaanbaaz Khiladi,Shriya Saran
Jaanbaaz Khiladi,Manoj Bajpayee
Jaanbaaz Khiladi,Pawan Kalyan
Jaanbaaz Khiladi,Kovai Sarala
Jaanbaaz Khiladi,S.J. Suryah
Jaanbaaz Khiladi,Ramesh Singanamala
Jaanbaaz Khiladi,A.R. Rahman
Jaanbaaz Khiladi,Binod Pradhan
Jaanbaaz Khiladi,Prabaahar
Ex Machina,Rob Hardy
Ex Machina,Alicia Vikander
Ex Machina,Domhnall Gleeson
Ex Machina,Oscar Isaac
Ex Machina,Sonoya Mizuno
Ex Machina,Alex Garland
Ex Machina,Andrew Macdonald
Ex Machina,Allon Reich
Ex Machina,Geoff Barrow
Ex Machina,Ben Salisbury
Tower Heist,Solomon J. LeFlore
Tower Heist,Eddie Murphy
Tower Heist,Ben Stiller
Tower Heist,Casey Affleck
Tower Heist,Alan Alda
Tower Heist,Brett Ratner
Tower Heist,Adam Cooper
Tower Heist,Bill Collage
Tower Heist,Ted Griffin
Tower Heist,Jeff Nathanson
द स्मर्फ,Peyo
द स्मर्फ,Hank Azaria
द स्मर्फ,Katy Perry
द स्मर्फ,Jonathan Winters
द स्मर्फ,Neil Patrick Harris
द स्मर्फ,Raja Gosnell
द स्मर्फ,J. David Stem
द स्मर्फ,David N. Weiss
द स्मर्फ,Jay Scherick
द स्मर्फ,David Ronn
The Mechanic,David Winkler
The Mechanic,Jason Statham
The Mechanic,Ben Foster
The Mechanic,Donald Sutherland
The Mechanic,Tony Goldwyn
The Mechanic,Simon West
The Mechanic,Richard Wenk
The Mechanic,Lewis John Carlino
The Mechanic,René Besson
The Mechanic,William Chartoff
Prince of Persia: The Sands of Time,Jerry Bruckheimer
Prince of Persia: The Sands of Time,Jake Gyllenhaal
Prince of Persia: The Sands of Time,Gemma Arterton
Prince of Persia: The Sands of Time,Ben Kingsley
Prince of Persia: The Sands of Time,Alfred Molina
Prince of Persia: The Sands of Time,Mike Newell
Prince of Persia: The Sands of Time,Boaz Yakin
Prince of Persia: The Sands of Time,Doug Miro
Prince of Persia: The Sands of Time,Carlo Bernard
Prince of Persia: The Sands of Time,Jordan Mechner
Ten Tricks,Jacqueline Cambas
Ten Tricks,Lea Thompson
Ten Tricks,Sam Hennings
Ten Tricks,Raymond Cruz
Ten Tricks,Richard Gleason
Ten Tricks,Richard Pagano
Ten Tricks,Robert Jay Litz
Ten Tricks,Randall Miller
Ten Tricks,John Leftwich
Ten Tricks,John Bailey
Unstoppable,Alex Young
Unstoppable,Denzel Washington
Unstoppable,Chris Pine
Unstoppable,Rosario Dawson
Unstoppable,Ethan Suplee
Unstoppable,Tony Scott
Unstoppable,Mark Bomback
Unstoppable,Eric McLeod
Unstoppable,Mimi Rogers
Unstoppable,Julie Yorn
The Tree of Life,Alexandre Desplat
The Tree of Life,Brad Pitt
The Tree of Life,Sean Penn
The Tree of Life,Jessica Chastain
The Tree of Life,Hunter McCracken
The Tree of Life,Terrence Malick
The Tree of Life,Dede Gardner
The Tree of Life,Sarah Green
The Tree of Life,Grant Hill
The Tree of Life,Bill Pohlad
Ant-Man,Larry Lieber
Ant-Man,Paul Rudd
Ant-Man,Michael Douglas
Ant-Man,Corey Stoll
Ant-Man,Evangeline Lilly
Ant-Man,Peyton Reed
Ant-Man,Edgar Wright
Ant-Man,Joe Cornish
Ant-Man,Adam McKay
Ant-Man,Stan Lee
Pathar,Dilshad Patel
Pathar,Vasundhara Das
Pathar,Raj Vasudeva
Pathar,Sunil Prem Vyas
Pathar,Pankaj Prakash
Pathar,Manju Sinha
Pathar,Ballu Saluja
Pathar,Sandeep Mukherji
Atlas Shrugged: Part I,Elia Cmiral
Atlas Shrugged: Part I,Taylor Schilling
Atlas Shrugged: Part I,Grant Bowler
Atlas Shrugged: Part I,Matthew Marsden
Atlas Shrugged: Part I,Edi Gathegi
Atlas Shrugged: Part I,Paul Johansson
Atlas Shrugged: Part I,Brian Patrick O'Toole
Atlas Shrugged: Part I,John Aglialoro
Atlas Shrugged: Part I,Ayn Rand
Atlas Shrugged: Part I,Harmon Kaslow
The Losers,Kerry Foster
The Losers,Idris Elba
The Losers,Zoe Saldana
The Losers,Jeffrey Dean Morgan
The Losers,Chris Evans
The Losers,Sylvain White
The Losers,Peter Berg
The Losers,James Vanderbilt
The Losers,Andy Diggle
The Losers,Jock
The Croods,Alan Silvestri
The Croods,Nicolas Cage
The Croods,Ryan Reynolds
The Croods,Emma Stone
The Croods,Catherine Keener
The Croods,Kirk DeMicco
The Croods,Chris Sanders
The Croods,John Cleese
The Croods,Kristine Belson
The Croods,Jane Hartwell
Silence,Randall Emmett
Silence,Andrew Garfield
Silence,Adam Driver
Silence,Liam Neeson
Silence,Tadanobu Asano
Silence,Martin Scorsese
Silence,Jay Cocks
Silence,Shûsaku Endô
Silence,Vittorio Cecchi Gori
Silence,Barbara De Fina
Suburbicon,Alexandre Desplat
Suburbicon,Matt Damon
Suburbicon,Julianne Moore
