Actor,Movies
John Francis Daley,"['5/25/1977', 'Horrible Bosses', 'वेकेशन्स', 'Vacation', 'क्लाउडी विथ ए चांस ऑफ़ मीटबॉल्स 2', 'Cloudy with a Chance of Meatballs 2', 'Horrible Bosses 2', 'हॉरिबल बॉसेज़ 2', 'Spider-Man: Homecoming', 'स्पाइडर-मैन: होमकमिंग', 'Game Night', 'Dungeons & Dragons: Honor Among Thieves', 'Vacation Friends', 'Stuber']"
Austin Pendleton,"['5/25/1977', 'Paint', 'The Sound of Silence']"
Kevin Rosendo,['5/25/1977']
Colleen Camp,"['5/25/1977', 'Monstrous', 'The Private Life of a Modern Woman']"
Patrick Read Johnson,"['5/25/1977', 'Dragonheart: Battle for the Heartfire']"
Peter James Bowers,['5/25/1977']
Steven G. Dalbec,['5/25/1977']
Leigh Jones,['5/25/1977']
Gary Kurtz,['5/25/1977']
Nathanaël Karmitz,['On the Road']
Sam Riley,"['On the Road', 'Pride and Prejudice and Zombies', 'Byzantium', 'Way Down']"
Garrett Hedlund,"['On the Road', 'Tron: Legacy', 'Triple Frontier', 'Unbroken', 'Inside Llewyn Davis', 'बिली लीनस लॉन्ग हाफटाइम वाक', 'बिली लिन का लंबा मध्यांतर टहल लो', 'The United States vs. Billie Holiday']"
Kristen Stewart,"['On the Road', 'Spencer', 'The Twilight Saga: Breaking Dawn: Part 1', 'The Twilight Saga: Eclipse', 'द ट्वाईलाईट सागा: एक्लिप्स', 'Crimes of the Future', 'The Twilight Saga: Breaking Dawn - Part 2', 'Snow White and the Huntsman', 'Seberg', 'American Ultra', 'Personal Shopper', ""Charlie's Angels"", 'Lizzie', 'Underwater', 'Happiest Season']"
Amy Adams,"['On the Road', 'Man of Steel', 'The Fighter', 'Leap Year', ""Zack Snyder's Justice League"", 'The Master', 'Disenchanted', 'Her', 'American Hustle', 'Batman v Superman: Dawn of Justice Ultimate Edition', 'Trouble with the Curve', 'Arrival', 'बैटमैन वर्सेज सुपरमैन: डाॅन ऑफ जस्टिस', 'Nocturnal Animals', 'सामने वाली खिड़की में', 'The Woman in the Window', 'Vice', 'Dear Evan Hansen']"
Walter Salles,['On the Road']
Jack Kerouac,['On the Road']
Jose Rivera,"['On the Road', 'The 33']"
Roman Coppola,"['On the Road', 'Moonrise Kingdom', 'The Bling Ring', 'Isle of Dogs', 'The French Dispatch']"
Charles Gillibert,"['On the Road', ""Nobody's Hero"", 'Rodeo', 'Desierto', 'मस्तांग', 'Things to Come', 'Personal Shopper', 'Annette', 'Knife+Heart', 'Wasp Network', 'Bergman Island']"
Theodore Shapiro,"['The Secret Life of Walter Mitty', 'समुद्री लुटेरे! मिसफिट्स का बैंड', 'Hope Springs', 'Danny Collins', 'The Campaign', 'The Intern', 'The Invitation', 'Spy', 'A Simple Favor', 'Destroyer']"
Ben Stiller,"['The Secret Life of Walter Mitty', 'Tower Heist', 'Little Fockers', 'मैडागास्कर 3: यूरोप्स मोस्ट वांटेड', ""Madagascar 3: Europe's Most Wanted"", 'Zoolander 2', '30 Minutes or Less', ""While We're Young"", 'Night at the Museum: Secret of the Tomb', 'Why Him?', 'Alex Strangelove', 'Dinner in America']"
Kristen Wiig,"['The Secret Life of Walter Mitty', 'Ghostbusters', 'Downsizing', 'Bridesmaids', 'Despicable Me 2', 'सॉसेज पार्टी', 'Masterminds', 'The Diary of a Teenage Girl', 'Despicable Me 3', 'The Martian', 'Wonder Woman 1984']"
Jon Daly,['The Secret Life of Walter Mitty']
Kathryn Hahn,"['The Secret Life of Walter Mitty', 'Afternoon Delight', 'Bad Moms', 'The Do-Over', 'Private Life', 'A Bad Moms Christmas', 'होटल ट्रांसिल्वेनिया 4: ट्रांसफॉर्मेनिया']"
Steve Conrad,"['The Secret Life of Walter Mitty', 'Unfinished Business', 'Wonder']"
James Thurber,['The Secret Life of Walter Mitty']
Stuart Cornfeld,"['The Secret Life of Walter Mitty', 'The Big Year', 'Zoolander 2', '30 Minutes or Less']"
Samuel Goldwyn Jr.,['The Secret Life of Walter Mitty']
John Goldwyn,"['The Secret Life of Walter Mitty', 'द जिल्ट ट्रिप', 'Masterminds']"
Michael Shamberg,"['A Walk Among the Tombstones', 'LOL', 'Contagion', 'Cold Pursuit']"
Liam Neeson,"['A Walk Among the Tombstones', 'The A-Team', 'Silence', 'Clash of the Titans', 'Memory', 'Taken 2', 'Unknown', 'Blacklight', 'Battleship', 'The Next Three Days', 'The Commuter', 'The Grey', 'Wrath of the Titans', 'रैथ ऑफ द टाइटन्स', 'इमान्दार चोर।', 'Non-Stop', 'Run All Night', 'Third Person', 'Taken 3', 'A Million Ways to Die in the West', 'The Ice Road', 'Operation Chromite', 'Mark Felt: The Man Who Brought Down the White House', 'Cold Pursuit', 'Ordinary Love', 'Marlowe', 'The Marksman', 'Made in Italy']"
Dan Stevens,"['A Walk Among the Tombstones', 'The Rental', 'Beauty and the Beast', 'The Guest', 'Lucy in the Sky', 'Apostle', 'The Call of the Wild']"
David Harbour,"['A Walk Among the Tombstones', 'The Equalizer', 'No Sudden Move', 'Violent Night', 'Hellboy', 'X/Y', 'Black Widow', 'We Have a Ghost']"
Boyd Holbrook,"['A Walk Among the Tombstones', 'Beckett', 'Vengeance', 'लोगन', 'लोगन द वुलवरीन', 'The Free World', 'The Predator', 'Two/One', 'In the Shadow of the Moon', 'Eight for Silver']"
Scott Frank,"['A Walk Among the Tombstones', 'X-Man Wolverine 2', 'Bruiser', 'लोगन', 'लोगन द वुलवरीन', 'No Exit']"
Lawrence Block,['A Walk Among the Tombstones']
Tobin Armbrust,"['A Walk Among the Tombstones', 'Snitch', 'Let Me In', 'The Resident', 'So Undercover', 'Begin Again']"
Danny DeVito,"['A Walk Among the Tombstones', 'द लॉरेक्स', 'Minions & More 1', 'Dumbo']"
Brian Oliver,"['A Walk Among the Tombstones', 'The Ides of March', 'Pride and Prejudice and Zombies', 'The Woman in Black', 'Clown', 'Rush', 'American Made', '1917']"
Patrick Crowley,"['Jurassic World', 'द बॉर्न लिगेसी', 'The Bourne Legacy', 'The Other Guys', 'Abduction', 'Jurassic World: Dehsheth Mein Saltanat', 'Jurassic World: Fallen Kingdom', 'Jurassic World Dominion']"
