Actor,Movies
Jandy Nelson,['The Sky Is Everywhere']
Allison Rose Carter,['The Sky Is Everywhere']
Margaret French-Isaac,['The Sky Is Everywhere']
Elana Farley,['A Teacher']
Jennifer Prediger,['A Teacher']
Julie Dell Phillips,['A Teacher']
Hannah Fidell,"['A Teacher', '6 Years']"
Brian McOmber,"['A Teacher', 'It Comes at Night']"
Andrew Droz Palermo,"['A Teacher', '6 Years', 'A Ghost Story']"
Sofi Marshall,['A Teacher']
Subhash Lalitha Subrahmanian,['Charles Enterprises']
Subramanian K.V.,['Charles Enterprises']
Krishna Rodge,['Criminal']
Hrishabh Sharma,['Criminal']
Vikas Batra,"['Criminal', 'Ghar Vapsi']"
Garinder Sidhu,['Criminal']
Sarvjit Khera,['Criminal']
Aaron Alegre,['#DoYouThinkIAmSexy']
Nor Domingo,['#DoYouThinkIAmSexy']
Ejaz Gulab,['Ab Tak Chhappan 2']
Vinay Chauhan,['Ab Tak Chhappan 2']
Ankit Shrestha,['Maali']
Auroshikha Dey,['Maali']
Anita Negi,['Maali']
Sujata Sharma,['Maali']
Ishan Singh,['Maali']
Shiv C Shetty,['Maali']
Sonali Rana,['Maali']
Shashwat Mall,['Maali']
Hrithik Shankar Naudiyal,['Maali']
Nashid Mohamed Famy,['Jaya Jaya Jaya Jaya Hei']
June Yoon,['The Trapped 13: How We Survived the Thai Cave']
Ekapol Chanthawong,['The Trapped 13: How We Survived the Thai Cave']
Ei Khan,['The Trapped 13: How We Survived the Thai Cave']
Panumas Sangdee,['The Trapped 13: How We Survived the Thai Cave']
Chanin Vibulrungruang,['The Trapped 13: How We Survived the Thai Cave']
Pailin Wedel,['The Trapped 13: How We Survived the Thai Cave']
Simon Russell,['The Trapped 13: How We Survived the Thai Cave']
Thanakrit Duangmaneeporn,['The Trapped 13: How We Survived the Thai Cave']
Shaad Randhawa,"['Aashiqui 2', 'आशिक़ी 2', 'Ek Villain']"
Salil Acharya,"['Aashiqui 2', 'आशिक़ी 2']"
Ajay Chourey,"['Behind Veils', 'Widow of Silence']"
Ariana Sajnani,['Behind Veils']
Bhagwan Tiwari,"['Behind Veils', 'UnWoman']"
Praveen Morchhale,"['Behind Veils', 'Widow of Silence']"
Sahil Kulkarni,"['Behind Veils', 'Mid Day Meeal']"
Mohammad Reza Jahanpanah,"['Behind Veils', 'Widow of Silence']"
Anthony Joseph,"['Behind Veils', 'Widow of Silence']"
D Sadhani,['करतूत']
Sahil Kohli,['करतूत']
Piyush Ranade,['करतूत']
Anil Dutt,['करतूत']
Sadhna Dutt,['करतूत']
Anisadh,['करतूत']
Anil Singh,"['करतूत', 'Muktodhara', 'Pranaam']"
Umashankar Mishra,['करतूत']
BolliBoina Nageshwara Rao,['Mr. King']
Tanvir Anzum,['Mr. King']
Deva Nandha,['Malikappuram']
Sreepath,"['Malikappuram', 'Iblis']"
Vishnu Sasi Shankar,['Malikappuram']
Sabrina Scolari,['Fall']
Paky Arcella,['Fall']
Federico Bava,['Fall']
Chiara Biancardi,['Fall']
Cristina Di Gesù,['Fall']
Bissacco Federico,['Fall']
Medusa,['Fall']
Vittorio Vicari,['Fall']
Paolo Mazzini,['Fall']
Giulio J. Prosperi,['Fall']
Tom Redoble,['Doll House']
Althea Ruedas,['Doll House']
Mary Joy Apostol,['Doll House']
Phi Palmos,['Doll House']
Marla Ancheta,['Doll House']
Rona Lean Sales,['Doll House']
Faye Lorenzo,['Doll House']
Jim Flynn,['The Other Woman']
Kate Upton,"['The Other Woman', 'The Layover']"
Nick Cassavetes,"['The Other Woman', 'Prisoners of the Ghostland', 'Red Handed']"
Melissa K. Stack,['The Other Woman']
Robert Fraisse,['The Other Woman']
Sam Delich,['Christmas Bloody Christmas']
Jonah Ray,['Christmas Bloody Christmas']
Joe Begos,['Christmas Bloody Christmas']
Josh Ethier,"['Christmas Bloody Christmas', 'Contracted']"
Brian Sowell,['Christmas Bloody Christmas']
Adam Dietrich,"['Christmas Bloody Christmas', 'The Vast of Night', 'द वास्ट ऑफ़ नाइट']"
Abhilash S Kumar,['Chattambi']
Alex Joseph,['Chattambi']
Don Palathara,['Chattambi']
Assif Yogi,['Chattambi']
Joel Kavi,['Chattambi']
B. Rampal,"['DJ Wale Babu', 'Kanjoos Majnu Kharchili Laila']"
Vikas Mehta,['DJ Wale Babu']
Gulzaar Chhaniwala,"['DJ Wale Babu', 'Born Fire: Ek Agg']"
Gourav K.R. Bargota,['DJ Wale Babu']
Vikas Sinha,['DJ Wale Babu']
Omkar Bhakhri,['DJ Wale Babu']
Sonia Kour,"['Chhalle Mundiyan', 'Nikka Zaildar 3']"
Sunil Puri,['Chhalle Mundiyan']
Gurkirpal Singh,['Chhalle Mundiyan']
Pali Singh,['Chhalle Mundiyan']
Sachin Ahuja,['Chhalle Mundiyan']
Sharon Leal,['Addicted']
John Newberg,['Addicted']
Tyson Beckford,['Addicted']
Bille Woodruff,['Addicted']
Christina Welsh,['Addicted']
Zane,['Addicted']
Mahesh Vitta,['Sakalagunabhi Rama']
VJ Sunny,['Sakalagunabhi Rama']
Ashima Narwal,"['Sakalagunabhi Rama', 'Kolaigaran', 'Jessie']"
Tharuni Singh,['Sakalagunabhi Rama']
Sri Teja,['Sakalagunabhi Rama']
Sanjeeva Reddy Vaddi,['Sakalagunabhi Rama']
Nalinikanth Kondapalli,['Sakalagunabhi Rama']
Rick Bitzelberger,['Stuck in Love']
Judy Cairo,"['Stuck in Love', 'Kidnapping Mr. Heineken']"
Mike Mogis,['Stuck in Love']
Nate Walcott,['Stuck in Love']
Mark Hapka,['Hot Take: The Depp/Heard Trial']
Megan Davis,['Hot Take: The Depp/Heard Trial']
Melissa Marty,['Hot Take: The Depp/Heard Trial']
Mary Carrig,['Hot Take: The Depp/Heard Trial']
Sara Lohman,['Hot Take: The Depp/Heard Trial']
Guy Nicolucci,['Hot Take: The Depp/Heard Trial']
Kristifor Cvijetic,"['Hot Take: The Depp/Heard Trial', 'The Blackout Experiment']"
Zhuangzhuang Tian,['Born to Fly']
Jun Hu,['Born to Fly']
Yosh Yu,['Born to Fly']
Dongyu Zhou,"['Born to Fly', 'The Thousand Faces of Dunjia', 'Better Days']"
Liu Xiaoshi,['Born to Fly']
Yu Bu,['Born to Fly']
Yujia Zhai,['Born to Fly']
Zichen Wang,['Born to Fly']
Xin Lu,['Born to Fly']
Ice Idanan,['Pabuya']
Franki Russell,"['Pabuya', 'Laruan', 'Tag-init']"
Dorothy Labro,['Pabuya']
Carlo Valenzona,['Pabuya']
James,['Meri Dhadkan']
Shakthi,"['Meri Dhadkan', 'Disco Raja']"
Francesco Garrone,['Jumping from High Places']
Federica Torchetti,['Jumping from High Places']
Cristiano Caccamo,['Jumping from High Places']
Celeste Savino,['Jumping from High Places']
Andrea Jublin,['Jumping from High Places']
Chiara Parenti,['Jumping from High Places']
Alice Urciuolo,['Jumping from High Places']
Luca Ciut,"['Jumping from High Places', 'Sangre en la boca']"
Daniele Massaccesi,['Jumping from High Places']
Kristen Lundberg,['Worth Each Penny Presents: Scary Stories']
Mark Mos,['Worth Each Penny Presents: Scary Stories']
Anna Kay,['Worth Each Penny Presents: Scary Stories']
Eriks Mickevics,['Worth Each Penny Presents: Scary Stories']
Naresh,"['Leharaayi', 'Intinti Ramayanam']"
Ramakrishna Paramahamsa,"['Leharaayi', 'Leheraee']"
Maddyreddy Sreenivas,"['Leharaayi', 'Leheraee']"
Peter Davenport,['Missing 411: The U.F.O. Connection']
Daniela Salmen,['Missing 411: The U.F.O. Connection']
John Miles,['Missing 411: The U.F.O. Connection']
Adam Palmer,['Missing 411: The U.F.O. Connection']
Gail Star,['Missing 411: The U.F.O. Connection']
Phillip James,['Missing 411: The U.F.O. Connection']
Miko Allyn,['Missing 411: The U.F.O. Connection']
Gene Ralston,['Missing 411: The U.F.O. Connection']
Viny Raj Modi,['Machhli Jal Ki Rani Hai... a paranormal thriller']
Reema Debnath,['Machhli Jal Ki Rani Hai... a paranormal thriller']
Saurabh Dubey,['Machhli Jal Ki Rani Hai... a paranormal thriller']
Hritu,['Machhli Jal Ki Rani Hai... a paranormal thriller']
Debaloy Dey,['Machhli Jal Ki Rani Hai... a paranormal thriller']
Sushil Agrawal,['Machhli Jal Ki Rani Hai... a paranormal thriller']
Abhinav Jain,['Machhli Jal Ki Rani Hai... a paranormal thriller']
Rajneet Jain,['Machhli Jal Ki Rani Hai... a paranormal thriller']
Faaris,['Oviyam']
Rogerio Sobreira,['Esposa de Aluguel']
Caio Castro,['Esposa de Aluguel']
Mariana Xavier,['Esposa de Aluguel']
Danielle Winits,['Esposa de Aluguel']
Cris D'Amato,['Esposa de Aluguel']
Luanna Guimaraes,['Esposa de Aluguel']
Carol Alckmin,"['Esposa de Aluguel', 'Christmas Full of Grace']"
Mayra Lucas,"['Esposa de Aluguel', 'Christmas Full of Grace']"
Fabio Góes,['Esposa de Aluguel']
Ashish Rawde,['Passion of Christ 3']
Pranjal Rawde,['Passion of Christ 3']
Gaurav Shinde,['Passion of Christ 3']
Sudam Rawde,['Passion of Christ 3']
Nitin Vairagar,['Passion of Christ 3']
Shivaji Hasure,['Passion of Christ 3']
Christos Voudouris,"['Before Midnight', 'Private Life']"
Julie Delpy,['Before Midnight']
Seamus Davey-Fitzpatrick,['Before Midnight']
Kim Krizan,['Before Midnight']
Christos V. Konstantakopoulos,"['Before Midnight', 'Monday', 'Tommaso']"
Sara Woodhatch,['Before Midnight']
Annie Marter,['Transcendence']
Jack Paglen,"['Transcendence', 'Alien: Covenant']"
Kate Cohen,['Transcendence']
Malti Chahar,"['Ishq Pashmina', 'इश्क पशमीना']"
Yashraaj Chaurasia,"['Ishq Pashmina', 'इश्क पशमीना']"
Arvind Pandey,"['Ishq Pashmina', 'इश्क पशमीना', 'Ishq Pashmina', 'इश्क पशमीना']"
Shalu Mishra,"['Ishq Pashmina', 'इश्क पशमीना']"
Suraj Surya Mishra,"['Ishq Pashmina', 'इश्क पशमीना']"
Harrdy Sandhu,['Code Name: Tiranga']
Ribhu Dasgupta,"['Code Name: Tiranga', 'Te3n', 'The Girl on the Train']"
Gilad Benamram,['Code Name: Tiranga']
Tribhuvan Babu Sadineni,"['Code Name: Tiranga', 'Chakki', 'हर हर महादेव']"
Sangeeth Varghese,['Code Name: Tiranga']
Roger Chingirian,['Adbhut Yodha']
Matt Doran,['Adbhut Yodha']
Leon Tong,['Adbhut Yodha']
Joe Ng,['Adbhut Yodha']
Ting Si Hao,['Adbhut Yodha']
Pankaj Jaiswal,['Ammaa Ki Boli']
Master Aniket,['Ammaa Ki Boli']
Ashraf,['Ammaa Ki Boli']
Narayan Chauhan,['Ammaa Ki Boli']
Zeeshan Ahmad,['Ammaa Ki Boli']
Prakash Bhardwaj,['Ammaa Ki Boli']
Mukesh Chaudhary,['Ammaa Ki Boli']
Manoj Beedha,"['Agent Kannayiram', 'Vanjagar Ulagam']"
Saravanan Ramasamy,['Agent Kannayiram']
Sushant Singh Rajput,"['Kai po che!', 'Shuddh Desi Romance', 'Detective Byomkesh Bakshy!', 'M.S. Dhoni: The Untold Story', 'Drive', 'Kedarnath', 'Sonchiriya', 'Dil Bechara', 'Chhichhore']"
Chetan Bhagat,"['Kai po che!', 'Kick', '2 States', 'Half Girlfriend']"
Pubali Chaudhuri,['Kai po che!']
Scott Kimber,"[""Daddy's Little Girl""]"
Billi Baker,"[""Daddy's Little Girl""]"
Michael Thomson,"[""Daddy's Little Girl"", 'Battalion']"
Allira Jaques,"[""Daddy's Little Girl""]"
Holly Phillips,"[""Daddy's Little Girl""]"
Leah Bray,"[""Daddy's Little Girl""]"
Dominic Crisci,"[""Daddy's Little Girl""]"
Sean Gannon,"[""Daddy's Little Girl""]"
Andrea Schütte,['Little Thirteen']
Muriel Wimmer,['Little Thirteen']
Antonia Putiloff,['Little Thirteen']
Joseph Konrad Bundschuh,['Little Thirteen']
Isabell Gerschke,['Little Thirteen']
Christian Klandt,['Little Thirteen']
Catrin Lüth,['Little Thirteen']
Jochen Cremer,['Little Thirteen']
Verena Schilling,['Little Thirteen']
Kishore Lulla,"['Goliyon Ki Raasleela Ram Leela', 'Bajirao Mastani']"
Siddharth-Garima,"['Goliyon Ki Raasleela Ram Leela', 'Raabta', 'Toilet: Ek Prem Katha', 'Batti Gul Meter Chalu', 'Kabir Singh']"
Hiran Mitra,['Jhora Palok. The Epilogue']
Biplab Banerjee,"['Jhora Palok. The Epilogue', 'Cosmic Sex']"
Sayantan Mukherjee,['Jhora Palok. The Epilogue']
Avijit Nandy,['Jhora Palok. The Epilogue']
Pradipta Bhattacharyya,"['Jhora Palok. The Epilogue', 'Rajlokhi O Srikanto']"
Bhuvanchandhar,['Ranasthali']
Karnatakapu Dharma,['Ranasthali']
Anupama Sureddi,['Ranasthali']
Sureddi Vishnu,['Ranasthali']
Kesava Kiran,['Ranasthali']
Jastibalaji,['Ranasthali']
Manisha Soni,['एक जगह अपनी']
Muskan,"['एक जगह अपनी', 'एक जगह अपनी']"
Aakash Jamra,['एक जगह अपनी']
Mahima Singh Thakur,['एक जगह अपनी']
Ektara Collective,['एक जगह अपनी']
Rinchin Rinchin,['एक जगह अपनी']
Maheen Mirza,['एक जगह अपनी']
Hassath,['एक जगह अपनी']
Rajshree Chand,['Alert Code Red']
Som Deshpande,['Alert Code Red']
Kuntala Kalita,['Alert Code Red']
Srivatssa Khurana,['Alert Code Red']
Neel Pandey,['Alert Code Red']
Anmol Karnik,['Alert Code Red']
Sushil Pathak,['Alert Code Red']
Darsh Chitroda,['Alert Code Red']
Pranay Patil,['Alert Code Red']
Shahin Kazem Nezhad,['No End']
Fahime Jahani,['No End']
Nader Saeivar,['No End']
Said Nur Akkus,['No End']
Hossein Mirzagholi,['No End']
Hamid Mehrafrouz,['No End']
Sharanamma Chetti,['Shivamma']
Chennamma Abbegere,['Shivamma']
Jaishankar Aryar,['Shivamma']
Abdullah Muhammad,"['Babe Bhangra Paunde Ne', 'डेयर एंड लवली']"
Devinder Dillon,['Babe Bhangra Paunde Ne']
Anirban Bhattacharyya,['Opium']
Aman Sachdeva,['Opium']
Vijay Kapoor,"['Opium', 'The Legend of Michael Mishra']"
Praveen Nair,['Opium']
Farooq Hundekar,"['Opium', 'Dobaara']"
Yogesh Dimble,['टर्री']
Mahesh Ravsaheb Kale,['टर्री']
Pratik Chavan,['टर्री']
Akshay Adhalrao Patil,['टर्री']
Linn Bjornland,['Escape Through Africa']
Robert Okumu,['Escape Through Africa']
Ted Betz,['Escape Through Africa']
Brooks Ball,['Escape Through Africa']
Loy Norrix,['Escape Through Africa']
Joe Mitacek,['Escape Through Africa']
Jessica DiCicco,['Minions & More 1']
Van Robichaux,['Minions & More 1']
Evan Susser,['Minions & More 1']
Salvador Parra,['¡Que viva México!']
Nacho Mastretta,['¡Que viva México!']
Alberto Anaya Adalid,['¡Que viva México!']
Chaya Singh,"['Lilly rani', 'Mufti']"
Vishnu,"['Lilly rani', 'Siruvan samuel', 'Shashiyum Shakundhalayum']"
Senthil Kandiyar,['Lilly rani']
Beswanth Venkatesh,['Lilly rani']
Saharsh Kumar Shukla,"['Haddi', 'Pati Patni and Joe']"
Akshat Ajay Sharma,['Haddi']
Adamya Bhalla,['Haddi']
Radhika Nanda,['Haddi']
Sanjay Saha,"['Haddi', 'Prathyardhi']"
Jay Oza,['Haddi']
Rahul Bhat,"['Chakki', 'Ugly', 'Fitoor', 'Daas Dev', 'Section 375']"
Satish Munda,['Chakki']
Ashwin Verman,['Chakki']
Bharat Ninderwal,['Chakki']
Indian Ocean,"['Chakki', 'Kanpuriye']"
Anjali Menon,"['Ustad Hotel', 'Yaariyan 2', 'Wonder Women', 'Bangalore Days', 'Koode']"
Tam Khalid,['Blood Flower']
Idan Aedan,['Blood Flower']
Remy Ishak,['Blood Flower']
Nadiya Nissa,['Blood Flower']
Dain Said,['Blood Flower']
Ben Omar,['Blood Flower']
Nandita Solomon,['Blood Flower']
Jordan Wei Meng Chiam,['Blood Flower']
Violet McGraw,"['A Christmas Mystery', 'I Believe in Santa', 'M3gan', 'Separation', 'Our Friend']"
Santino Barnard,"['A Christmas Mystery', 'Monstrous']"
Lauren Lindsey Donzis,"['A Christmas Mystery', 'I Am Mortal']"
Leonardo Cecchi,['A Christmas Mystery']
Aadarsh,"['GeetaSakshigaa', 'Vasudha']"
Anitha Chowdary,"['GeetaSakshigaa', 'Mera Faisla', 'Maaya']"
Anthony Mattipalli,['GeetaSakshigaa']
Jessica Henwick,['Love and Monsters']
Dan Ewing,"['Love and Monsters', 'Devil Beneath', 'Occupation: Rainfall']"
Michael Matthews,['Love and Monsters']
Martin Léon,['My Salinger Year']
Seána Kerslake,"['My Salinger Year', 'The Hole in the Ground']"
Philippe Falardeau,['My Salinger Year']
Joanna Smith Rakoff,['My Salinger Year']
Catherine Kidd,['My Salinger Year']
Vicky Ahuja,"['1920: Evil Returns', 'Bhouri']"
Tarakesh Chauhan,['1920: Evil Returns']
Irma Jämhammar,['1920: Evil Returns']
Bhushan Patel,"['1920: Evil Returns', 'Ragini MMS 2', 'Alone', 'Amavas']"
Razzak Khan,['Baat Ban Gayi']
Shuja Ali,['Baat Ban Gayi']
Megha Agarwal,['Baat Ban Gayi']
Syed Asif Jah,['Baat Ban Gayi']
Baris Yikilmaz,['Cici']
Nur Sürer,['Cici']
Funda Eryigit,['Cici']
Okan Yalabik,['Cici']
Berkun Oya,['Cici']
Ali Farkhonde,['Cici']
Yagiz Yavru,['Cici']
Asli Dadak,['Cici']
Christopher Jenkins,['Home']
Jim Parsons,"['Home', 'Spoiler Alert']"
Tim Johnson,['Home']
Adam Rex,['Home']
Suzanne Buirgy,"['Home', 'Abominable']"
Jacob Chase,"['Best Friends Forever', 'Come Play']"
Alex Berg,['Best Friends Forever']
Leslie Chappell,['Best Friends Forever']
Stevin Espinoza,['Best Friends Forever']
Vera Miao,['Best Friends Forever']
Stacey Storey,['Best Friends Forever']
Matthew Puckett,"['Best Friends Forever', 'Boy Meets Girl']"
Michelle Lawler,"['Best Friends Forever', 'Rust Creek']"
Valda Bickute,['Christmas. Uncensored']
Leonardas Pobedonoscevas,['Christmas. Uncensored']
Kostas Smoriginas,['Christmas. Uncensored']
Dalia Storyk,['Christmas. Uncensored']
Maris Martinsons,['Christmas. Uncensored']
Linda Krukle,['Christmas. Uncensored']
Mario Basanov,['Christmas. Uncensored']
Feliksas Abrukauskas,['Christmas. Uncensored']
Algis Garbaciauskas,['Christmas. Uncensored']
Jatinder Sharma,['3 Bachelors']
Negar Khan,['3 Bachelors']
Nigaar Khan,['3 Bachelors']
Manish Nagpal,['3 Bachelors']
Ajai Sinha,['3 Bachelors']
Raghuvir Shekhawat,['3 Bachelors']
Daboo Malik,"['3 Bachelors', 'Ekta']"
O. Henry,['Lootera']
Lee Yang-hee,['My Secret Partner']
Yeong-ho Kim,['My Secret Partner']
Chae-Yi Yoon,['My Secret Partner']
Hye-seon Kim,['My Secret Partner']
San-ho Kim,['My Secret Partner']
Hun-Su Park,['My Secret Partner']
Young-no Kim,['My Secret Partner']
Joo-hee Jeong,['My Secret Partner']
Young Ho Kim,['My Secret Partner']
San Shim,['My Secret Partner']
N. Shankar Dayal,['Rowdy Leader']
Michelle McCabe,['My So-Called High School Rank']
Zoe Dunay,['My So-Called High School Rank']
David Taylor Gomes,['My So-Called High School Rank']
Kyle Holmes,['My So-Called High School Rank']
Ricki Stern,['My So-Called High School Rank']
Anne Sundberg,['My So-Called High School Rank']
Alexander Baertl,['My So-Called High School Rank']
Sarit G. Work,['My So-Called High School Rank']
Paul Brill,"['My So-Called High School Rank', 'Sexy Baby']"
Rajesh Madaan,['Mid Day Meeal']
Anil Singh Chandel,['Mid Day Meeal']
Shahnawaz Pradhan,['Mid Day Meeal']
R.Ramkumar,['Mid Day Meeal']
Rohit Chandwaskar,['Mid Day Meeal']
Prateek Gandhi,['Mid Day Meeal']
Navdeep Panchal Shubh,['Mid Day Meeal']
Venkata Kumar Ravulapalli,['Ti Majhi Premkatha']
Tushar Dhakite,['Ti Majhi Premkatha']
Kapil Kamble Gudsurkar,"['Ti Majhi Premkatha', 'पाटील']"
Padmini Kamble,['Ti Majhi Premkatha']
Rajkumar Degloorkar,['Ti Majhi Premkatha']
Bukkawar Omprakash,['Ti Majhi Premkatha']
Rajveer Gaangji,['Ti Majhi Premkatha']
Beau Bridges,['The Mountain Between Us']
Charles Martin,['The Mountain Between Us']
Vicky Goswami,['Jism 2']
Barchie,['Jism 2']
Gargey Trivedi,"['Shadow Assassins', 'Darr @ the Mall']"
Hemant Kher,['Shadow Assassins']
Rakesh Chaturvedi Om,['Shadow Assassins']
Nilaanjan Reeta Datta,['Shadow Assassins']
Bhushan Ingole,['Shadow Assassins']
Rohit Kumar,"['Shadow Assassins', 'Naukar Vahuti Da']"
Parvati Melton,['The Return of Lion']
Ravi C. Kumar,"['The Return of Lion', 'Mr. Khatarnak']"
T. Surendra Reddy,"['The Return of Lion', 'The Action Man Adhinayakudu', 'Garam', 'Mr. Khatarnak']"
Sushma Prashant,['S.H.O. Sher Singh']
Shakti Rajput,['S.H.O. Sher Singh']
William Rajpoot,['S.H.O. Sher Singh']
Satwinder Kaur,['S.H.O. Sher Singh']
Roopi Maan,['S.H.O. Sher Singh']
Sandeep Pateela,['S.H.O. Sher Singh']
Tony Danza,['Don Jon']
Thomas Kloss,['Don Jon']
Lauren Zuckerman,['Don Jon']
Meghan C. Rogers,['Don Jon']
Osman Hung,['Love Actually... Sucks!']
Linda So,['Love Actually... Sucks!']
Haze Leung,['Love Actually... Sucks!']
John Tai,['Love Actually... Sucks!']
Scud,['Love Actually... Sucks!']
Yat-Yiu Yu,['Love Actually... Sucks!']
Herman Yau,"['Love Actually... Sucks!', 'So duk 2: Tin dei duei kuet', 'Shock Wave 2']"
Chi Wai Chan,['Love Actually... Sucks!']
Sankar Sharma,['4 Years']
Salu K. Thomas,"['4 Years', 'Kaathal - The Core']"
Ajay Singh,"['Chor Nikal Ke Bhaga', 'Boss Climax abhi Baki hai', 'Looose Control']"
Siraj Ahmed,['Chor Nikal Ke Bhaga']
Trishant Srivastava,['Chor Nikal Ke Bhaga']
Tina Desai,"['Table No.21', 'दशहरा']"
Dhruv Ganesh,"['Table No.21', 'Loev']"
Aditya Datt,"['Table No.21', 'Commando 3']"
T. Rafael Cimino,['Table No.21']
Sai Paranjape,['Chashme Baddoor']
Hithesh Jadav,['Jallikattu']
Prabhu Surya,['Jallikattu']
Shilpa,['Jallikattu']
Sulaksha Kaira,['Jallikattu']
Alwyn Francis,['Jallikattu']
Bhuvan Suresh,['Jallikattu']
Vijay Yardley,['Jallikattu']
Veeresh Nta,"['Jallikattu', 'Arjuna Sanyasi']"
N M Vishwa,['Jallikattu']
Martina Zamolo,['This Is Christmas']
Alfred Enoch,['This Is Christmas']
Jack Donoghue,['This Is Christmas']
Alastair Galbraith,"['This Is Christmas', 'Mission of Honor']"
David Mackie,['This Is Christmas']
Craig Sandells,['Curse of Chucky']
Chantal Quesnelle,['Curse of Chucky']
Fiona Dourif,"['Curse of Chucky', 'Cult of Chucky']"
Jordan Gavaris,['Curse of Chucky']
Danielle Bisutti,['Curse of Chucky']
Don Mancini,"['Curse of Chucky', 'Cult of Chucky', ""Child's Play""]"
Joseph LoDuca,"['Curse of Chucky', 'Bad Samaritan', 'Cult of Chucky', 'Here After']"
Michael Marshall,"['Curse of Chucky', 'Cult of Chucky']"
James Coblentz,['Curse of Chucky']
Megan Brown Martinez,['Christmas in Paradise']
Michael Richard Plowman,"['Christmas in Paradise', 'सुपारी', 'Summit Fever']"
Christophe Carcelle,['Christmas in Paradise']
Rathesh Krishnan,['Koshichaayante Paramb']
Renu Soundar,['Koshichaayante Paramb']
Saajir Sadaf,['Koshichaayante Paramb']
K.P. Johny,['Koshichaayante Paramb']
Kannan Patteri,"['Koshichaayante Paramb', 'Sulaikha Manzil']"
Jassal Saheer,['Koshichaayante Paramb']
Deepa Kartha,['Ormakalil']
Nasser Latif,['Ormakalil']
Poojitha Menon,['Ormakalil']
Vishwa Pratap,['Ormakalil']
M. Vishwa Pratap,['Ormakalil']
Vikrant Deshmukh,['Nazar Andaaz']
Sameer Halim,['Nazar Andaaz']
Aara,['Kuzhali']
J. Vignesh,"['Kuzhali', 'Kaakkaa Muttai']"
Chera Kalaiyarasan,['Kuzhali']
Jeyaraman,['Kuzhali']
Padraic McKinley,['Wild Card']
Dominik Garcia,['Wild Card']
William Goldman,['Wild Card']
Shelly Johnson,"['Wild Card', 'Greyhound']"
Vaughn Stein,"['Every Breath You Take', 'Terminal', 'Inheritance']"
David Murray,['Every Breath You Take']
Frank Buchs,['Every Breath You Take']
Morgan Emmery,['Every Breath You Take']
Anuranjan H R,['Arjuna Sanyasi']
C C Rao,['Arjuna Sanyasi']
Soundarya Gowda,['Arjuna Sanyasi']
Suraj Comedy Khiladi,"['Arjuna Sanyasi', 'Dooradarshana']"
Eshwar Polanki,['Arjuna Sanyasi']
K Hemanth Kumar,['Arjuna Sanyasi']
Ravi Belagundi,['Arjuna Sanyasi']
Guru Murthy Hegde Kannipal,['Arjuna Sanyasi']
Khan Chittenden,['Canopy']
Morning Tzu-Yi Mo,['Canopy']
Yoshi Yamamoto,['Canopy']
Aaron Wilson,['Canopy']
Katrina Fleming,['Canopy']
Cindy Clarkson,['Canopy']
Tim Burgin,['Canopy']
Shawn Sieger,['A Party to Die For']
Jonetta Kaiser,['A Party to Die For']
Kara Royster,['A Party to Die For']
Jermaine Rivers,['A Party to Die For']
Madia Hill Scott,['A Party to Die For']
Nanea Miyata,['A Party to Die For']
Roy Koriakin,"['A Party to Die For', 'Right Before Your Eyes']"
Matthew Atticus Berger,['A Party to Die For']
Joseph Hennigan,"['A Party to Die For', 'Pop Star', '7th Secret', 'Sno Babies']"
Meese Anjanappa,['NINGA']
Arjeeth,['NINGA']
Bairava,['NINGA']
Basavaraju Ts,['NINGA']
Kumara C Hiremath,['NINGA']
Connor Daly,['Sand Castles']
Jordon Hodges,"['Sand Castles', 'The Shade Shepherd']"
Anne Winters,"['Sand Castles', 'Mom and Dad']"
Randy Spence,"['Sand Castles', 'The Shade Shepherd']"
Saxon Trainor,['Sand Castles']
Clenet Verdi-Rose,['Sand Castles']
Bugs Moran,['Sand Castles']
Chris Nickin,['Sand Castles']
Todd Maki,['Sand Castles']
Chris Faulisi,"['Sand Castles', 'The Shade Shepherd']"
John Ronald Vicencio,['Relyebo']
Jeric Raval,['Relyebo']
Crisanto Aquino,['Relyebo']
Arun Banerjee,"['Boudi Canteen', 'Jiban Khatar Proti Pataye', 'चैलेंज - 2']"
Pushan Dasgupta,['Boudi Canteen']
Tanmoy Banerjee,['Boudi Canteen']
Savithri Krishna,['Riyaa']
Vilas Kulkarni,['Riyaa']
Vikas MR,['Riyaa']
Vijaya Naresh,['Riyaa']
Naresh Kanigonda,['Riyaa']
Acchu Suresh,['Riyaa']
Sri Javali,['Riyaa']
Tom Meyer,"['The Internship', 'द इंटर्नशिप']"
Jonathan Brown,"['The Internship', 'द इंटर्नशिप', 'The Rewrite']"
Valerie-Anne Christen,"[""No Man's Zone""]"
Arsinée Khanjian,"[""No Man's Zone""]"
Toshi Fujiwara,"[""No Man's Zone""]"
Jean Gruault,"[""No Man's Zone"", 'Marguerite & Julien']"
Marie-Jose Sanselme,"[""No Man's Zone""]"
Jon Jost,"[""No Man's Zone""]"
Chris Fujiwara,"[""No Man's Zone""]"
Vincent Dieutre,"[""No Man's Zone""]"
Isabelle Ingold,"[""No Man's Zone""]"
Sarika Hemi Lakhani,['Nairobi Half Life']
Joseph Wairimu,['Nairobi Half Life']
Olwenya Maina,['Nairobi Half Life']
Shix Kapyenga,['Nairobi Half Life']
Mugambi Nthiga,['Nairobi Half Life']
